AGE,SEX,SCHOOL_AGED,SCHOOL_LEVEL,BURGERS_EATEN,RESTAURANTS_VISITED,CLASSIFICATION,STATE,COUNTY,COUNTY_CODE
16,MALE,True,HS,177,3,0,VA,Portsmouth,51740
69,FEMALE,False,NOT,90,9,0,VA,Richmond City,51760
13,FEMALE,True,MS,17,6,0,VA,Goochland,51075
62,MALE,False,NOT,26,6,0,VA,Wise,51195
50,FEMALE,False,NOT,11,3,0,NC,Wake,37183
13,MALE,True,MS,58,5,1,VA,Albemarle,51003
61,MALE,False,NOT,3,6,1,VA,Manassas,51683
50,MALE,False,NOT,7,4,0,VA,Frederick,51069
46,MALE,False,NOT,10,1,1,VA,Chesapeake,51550
24,MALE,False,NOT,9,11,0,VA,Roanoke,51161
41,MALE,False,NOT,5,4,0,VA,Tazewell,51185
21,MALE,True,CL,12,5,0,VA,Norfolk,51710
39,MALE,False,NOT,26,6,1,VA,Rockingham,51165
14,MALE,True,HS,10,19,0,VA,Rockingham,51165
73,MALE,False,NOT,5,11,0,VA,Campbell,51031
39,MALE,False,NOT,15,1,1,VA,Russell,51167
31,MALE,False,NOT,27,13,1,VA,Norfolk,51710
49,FEMALE,False,NOT,5,1,1,VA,Norfolk,51710
75,FEMALE,False,NOT,34,8,1,NC,Durham,37063
23,FEMALE,False,CL,15,9,1,NC,Guilford,37081
52,MALE,False,NOT,13,2,1,VA,Loudoun,51107
42,MALE,False,NOT,1,3,0,VA,Prince William,51153
37,FEMALE,False,NOT,98,4,1,VA,Pittsylvania,51143
3,MALE,True,NOT,22,3,0,VA,Virginia Beach,51810
49,MALE,False,NOT,11,2,1,VA,Alexandria,51510
57,FEMALE,False,NOT,38,9,1,VA,Hampton,51650
65,MALE,False,NOT,14,2,1,VA,Portsmouth,51740
56,FEMALE,False,NOT,38,5,1,VA,Hampton,51650
32,FEMALE,False,NOT,10,4,0,VA,Hanover,51085
20,MALE,True,CL,40,4,1,VA,Montgomery,51121
4,MALE,True,NOT,4,5,0,VA,Alexandria,51510
56,MALE,False,NOT,70,6,1,VA,Bedford,51019
43,FEMALE,False,NOT,19,1,1,VA,Richmond City,51760
38,MALE,False,NOT,27,2,0,VA,Pulaski,51155
21,MALE,True,CL,42,13,0,VA,Roanoke City,51770
9,MALE,True,ES,23,10,0,VA,Brunswick,51025
79,FEMALE,False,NOT,39,1,1,VA,Powhatan,51145
69,MALE,False,NOT,4,3,1,VA,Virginia Beach,51810
74,MALE,False,NOT,22,5,0,VA,Falls Church,51610
74,FEMALE,False,NOT,58,2,1,VA,Powhatan,51145
40,MALE,False,NOT,21,5,1,VA,Pittsylvania,51143
26,MALE,False,NOT,67,2,1,NC,Forsyth,37067
31,FEMALE,False,NOT,21,13,1,VA,Wythe,51197
23,MALE,False,CL,24,11,1,VA,Falls Church,51610
25,MALE,False,NOT,6,17,0,VA,Falls Church,51610
48,MALE,False,NOT,5,10,0,VA,Russell,51167
17,FEMALE,True,HS,25,9,1,VA,Tazewell,51185
42,FEMALE,False,NOT,19,2,1,VA,Falls Church,51610
13,FEMALE,True,MS,1,3,1,MD,Montgomery,24031
39,FEMALE,False,NOT,52,9,1,VA,Fairfax,51059
40,MALE,False,NOT,4,4,0,VA,Virginia Beach,51810
71,FEMALE,False,NOT,23,10,1,VA,Halifax,51083
15,MALE,True,HS,24,1,0,VA,Wythe,51197
25,MALE,False,NOT,48,6,1,VA,Hampton,51650
27,MALE,False,NOT,74,6,1,VA,Wythe,51197
56,MALE,False,NOT,74,3,1,VA,Frederick,51069
49,FEMALE,False,NOT,22,6,1,VA,Tazewell,51185
51,MALE,False,NOT,57,2,1,VA,Fairfax,51059
42,FEMALE,False,NOT,30,5,0,VA,Frederick,51069
18,FEMALE,True,HS,22,1,0,VA,Mecklenburg,51117
25,FEMALE,False,NOT,13,3,0,VA,Wise,51195
52,MALE,False,NOT,9,14,0,VA,Russell,51167
46,FEMALE,False,NOT,46,13,0,VA,Brunswick,51025
29,MALE,False,NOT,8,5,0,VA,Goochland,51075
7,MALE,True,ES,24,7,1,VA,Manassas,51683
18,FEMALE,True,HS,50,16,0,VA,Fairfax,51059
52,MALE,False,NOT,9,5,0,VA,Washington,51191
21,FEMALE,True,CL,24,1,1,VA,Wise,51195
70,MALE,False,NOT,16,8,0,VA,Virginia Beach,51810
87,MALE,False,NOT,20,4,1,VA,Arlington,51013
34,MALE,False,NOT,27,15,1,VA,Manassas,51683
58,MALE,False,NOT,17,3,1,VA,Frederick,51069
47,FEMALE,False,NOT,58,3,0,NC,Wake,37183
56,FEMALE,False,NOT,3,7,0,VA,Chesterfield,51041
77,FEMALE,False,NOT,42,14,1,VA,Chesterfield,51041
37,MALE,False,NOT,18,10,0,VA,Chesterfield,51041
2,MALE,True,NOT,4,7,0,VA,Russell,51167
52,MALE,False,NOT,17,10,1,VA,Charlottesville,51540
67,FEMALE,False,NOT,102,20,0,VA,Campbell,51031
9,FEMALE,True,ES,10,6,0,VA,Wythe,51197
76,FEMALE,False,NOT,10,2,1,VA,Albemarle,51003
82,FEMALE,False,NOT,27,7,1,VA,Fauquier,51061
56,FEMALE,False,NOT,41,15,1,VA,Henrico,51087
12,MALE,True,MS,50,3,0,VA,Chesterfield,51041
42,FEMALE,False,NOT,55,2,1,VA,Roanoke,51161
21,MALE,True,CL,16,12,1,VA,Rockingham,51165
61,FEMALE,False,NOT,31,2,0,VA,Bedford,51019
17,MALE,True,HS,1,8,0,VA,Arlington,51013
67,MALE,False,NOT,18,5,0,VA,Hampton,51650
36,FEMALE,False,NOT,43,10,1,VA,Campbell,51031
34,MALE,False,NOT,3,12,0,VA,Chesapeake,51550
26,MALE,False,NOT,34,3,0,VA,Lynchburg,51680
31,MALE,False,NOT,7,2,1,VA,Prince William,51153
35,MALE,False,NOT,3,13,0,VA,Henrico,51087
5,MALE,True,ES,10,8,1,VA,Hampton,51650
56,MALE,False,NOT,32,4,1,VA,Arlington,51013
30,MALE,False,NOT,39,1,1,VA,Newport News,51700
56,MALE,False,NOT,8,1,1,VA,Arlington,51013
59,MALE,False,NOT,142,8,1,VA,Albemarle,51003
59,FEMALE,False,NOT,34,5,1,VA,Wythe,51197
48,FEMALE,False,NOT,13,13,0,VA,Virginia Beach,51810
48,MALE,False,NOT,15,12,1,VA,Powhatan,51145
68,FEMALE,False,NOT,72,4,1,VA,Fairfax,51059
48,MALE,False,NOT,48,7,1,VA,Alexandria,51510
47,FEMALE,False,NOT,19,11,1,NC,Guilford,37081
52,FEMALE,False,NOT,20,4,0,VA,Rockingham,51165
82,FEMALE,False,NOT,1,13,1,VA,Pittsylvania,51143
82,FEMALE,False,NOT,73,16,1,VA,Hanover,51085
10,FEMALE,True,ES,7,9,1,VA,Russell,51167
66,MALE,False,NOT,13,4,1,VA,Lynchburg,51680
16,MALE,True,HS,15,16,1,VA,Portsmouth,51740
40,MALE,False,NOT,97,6,1,VA,Brunswick,51025
17,MALE,True,HS,23,3,0,NC,Guilford,37081
28,MALE,False,NOT,52,3,1,VA,Rockingham,51165
9,MALE,True,ES,1,4,0,VA,Richmond City,51760
58,FEMALE,False,NOT,13,14,1,VA,Campbell,51031
54,MALE,False,NOT,36,7,1,VA,Pittsylvania,51143
85,MALE,False,NOT,22,8,1,VA,Lynchburg,51680
55,FEMALE,False,NOT,125,12,1,VA,Fauquier,51061
9,FEMALE,True,ES,44,2,1,VA,Chesterfield,51041
63,FEMALE,False,NOT,37,7,1,VA,Norfolk,51710
23,FEMALE,False,CL,8,4,0,VA,Charlottesville,51540
43,MALE,False,NOT,48,1,1,NC,Guilford,37081
15,MALE,True,HS,75,9,1,VA,Hanover,51085
76,FEMALE,False,NOT,20,9,0,VA,Brunswick,51025
25,MALE,False,NOT,26,9,0,VA,Russell,51167
24,MALE,False,NOT,96,14,1,VA,Chesapeake,51550
70,MALE,False,NOT,53,13,0,VA,Mecklenburg,51117
28,FEMALE,False,NOT,12,6,0,VA,Albemarle,51003
67,FEMALE,False,NOT,94,3,1,VA,Falls Church,51610
37,FEMALE,False,NOT,39,12,1,VA,Pulaski,51155
31,MALE,False,NOT,30,16,1,VA,Lynchburg,51680
9,FEMALE,True,ES,62,6,1,NC,Mecklenburg,37119
62,FEMALE,False,NOT,42,11,1,VA,Norfolk,51710
80,FEMALE,False,NOT,16,10,0,MD,Baltimore,24005
41,MALE,False,NOT,42,9,1,VA,Montgomery,51121
75,FEMALE,False,NOT,12,3,1,VA,Mecklenburg,51117
21,FEMALE,True,CL,62,4,0,MD,Baltimore,24005
46,MALE,False,NOT,22,10,0,VA,Manassas,51683
26,MALE,False,NOT,5,5,0,NC,Guilford,37081
67,MALE,False,NOT,18,11,1,VA,Goochland,51075
30,MALE,False,NOT,53,6,0,VA,Tazewell,51185
45,MALE,False,NOT,18,6,0,VA,Frederick,51069
61,FEMALE,False,NOT,29,3,1,VA,Falls Church,51610
74,FEMALE,False,NOT,1,18,1,VA,Prince William,51153
75,FEMALE,False,NOT,16,10,1,VA,Richmond City,51760
7,MALE,True,ES,3,25,1,VA,Augusta,51015
58,MALE,False,NOT,17,13,0,VA,Campbell,51031
41,MALE,False,NOT,48,5,1,VA,Henrico,51087
43,MALE,False,NOT,21,4,0,VA,Falls Church,51610
49,MALE,False,NOT,14,15,0,VA,Goochland,51075
17,FEMALE,True,HS,2,2,0,VA,Pulaski,51155
54,FEMALE,False,NOT,8,9,1,VA,Fauquier,51061
24,FEMALE,False,NOT,7,9,0,VA,Henrico,51087
13,MALE,True,MS,36,10,1,VA,Pittsylvania,51143
59,FEMALE,False,NOT,20,14,0,VA,Bedford,51019
61,MALE,False,NOT,43,8,1,VA,Wythe,51197
66,MALE,False,NOT,47,10,1,VA,Hampton,51650
34,FEMALE,False,NOT,23,15,1,VA,Roanoke,51161
74,MALE,False,NOT,19,2,0,VA,Halifax,51083
46,FEMALE,False,NOT,37,2,1,VA,Arlington,51013
66,MALE,False,NOT,14,14,0,VA,Augusta,51015
65,MALE,False,NOT,2,4,0,VA,Charlottesville,51540
30,FEMALE,False,NOT,43,10,0,VA,Chesapeake,51550
29,MALE,False,NOT,19,25,0,VA,Charlottesville,51540
45,FEMALE,False,NOT,41,14,1,VA,Chesterfield,51041
78,FEMALE,False,NOT,10,1,1,VA,Goochland,51075
36,FEMALE,False,NOT,11,15,0,VA,Pittsylvania,51143
44,FEMALE,False,NOT,52,3,0,VA,Washington,51191
50,FEMALE,False,NOT,5,13,1,VA,Montgomery,51121
29,FEMALE,False,NOT,7,9,1,VA,Frederick,51069
72,FEMALE,False,NOT,6,22,1,VA,Pulaski,51155
29,FEMALE,False,NOT,38,2,1,VA,Tazewell,51185
54,FEMALE,False,NOT,40,2,1,NC,Forsyth,37067
56,MALE,False,NOT,10,8,0,VA,Charlottesville,51540
59,MALE,False,NOT,35,3,1,VA,Russell,51167
49,MALE,False,NOT,5,9,0,VA,Rockingham,51165
23,FEMALE,False,CL,63,4,0,VA,Hampton,51650
73,MALE,False,NOT,14,3,1,VA,Goochland,51075
1,MALE,True,NOT,21,1,1,VA,Mecklenburg,51117
38,MALE,False,NOT,15,3,1,VA,Wythe,51197
45,FEMALE,False,NOT,30,8,1,VA,Loudoun,51107
48,MALE,False,NOT,22,7,1,NC,Durham,37063
29,FEMALE,False,NOT,43,6,1,VA,Hanover,51085
53,MALE,False,NOT,18,4,0,VA,Montgomery,51121
51,FEMALE,False,NOT,16,10,0,VA,Prince William,51153
59,FEMALE,False,NOT,4,1,0,VA,Alexandria,51510
58,MALE,False,NOT,46,11,1,VA,Wise,51195
52,FEMALE,False,NOT,11,19,0,VA,Norfolk,51710
62,FEMALE,False,NOT,7,9,1,MD,Montgomery,24031
49,MALE,False,NOT,1,1,0,VA,Augusta,51015
23,MALE,False,CL,64,5,1,VA,Manassas,51683
20,FEMALE,True,CL,53,8,0,VA,Richmond City,51760
47,FEMALE,False,NOT,8,1,0,VA,Pulaski,51155
21,MALE,True,CL,77,10,0,MD,Anne Arundel,24003
5,FEMALE,True,ES,102,24,1,VA,Pittsylvania,51143
71,MALE,False,NOT,17,1,1,MD,Anne Arundel,24003
80,FEMALE,False,NOT,73,7,1,VA,Portsmouth,51740
23,FEMALE,False,CL,4,25,0,VA,Rockingham,51165
31,MALE,False,NOT,45,1,0,VA,Roanoke,51161
25,MALE,False,NOT,22,9,0,VA,Russell,51167
47,FEMALE,False,NOT,25,11,1,VA,Roanoke City,51770
23,FEMALE,False,CL,41,4,0,VA,Lynchburg,51680
29,MALE,False,NOT,22,13,0,VA,Wythe,51197
56,FEMALE,False,NOT,24,22,1,MD,Anne Arundel,24003
16,MALE,True,HS,14,8,1,VA,Albemarle,51003
40,MALE,False,NOT,42,9,1,VA,Fairfax,51059
14,MALE,True,HS,39,8,1,VA,Brunswick,51025
19,MALE,True,CL,23,8,0,VA,Charlottesville,51540
12,MALE,True,MS,87,4,1,NC,Forsyth,37067
40,MALE,False,NOT,8,10,1,VA,Chesterfield,51041
39,FEMALE,False,NOT,14,7,0,VA,Russell,51167
4,MALE,True,NOT,14,5,0,VA,Lynchburg,51680
36,FEMALE,False,NOT,10,3,1,VA,Portsmouth,51740
12,FEMALE,True,MS,15,6,0,VA,Russell,51167
78,MALE,False,NOT,12,2,1,MD,Montgomery,24031
59,MALE,False,NOT,2,17,0,VA,Goochland,51075
53,FEMALE,False,NOT,11,16,0,NC,Wake,37183
59,FEMALE,False,NOT,63,5,1,VA,Henrico,51087
34,MALE,False,NOT,16,3,1,VA,Norfolk,51710
57,FEMALE,False,NOT,84,8,1,VA,Manassas,51683
22,FEMALE,True,CL,14,6,1,VA,Mecklenburg,51117
38,MALE,False,NOT,30,1,1,VA,Brunswick,51025
17,MALE,True,HS,40,10,0,VA,Alexandria,51510
86,FEMALE,False,NOT,11,13,0,MD,Anne Arundel,24003
6,FEMALE,True,ES,34,8,1,MD,Anne Arundel,24003
17,MALE,True,HS,27,3,1,VA,Powhatan,51145
21,MALE,True,CL,7,10,0,VA,Albemarle,51003
77,MALE,False,NOT,24,6,0,NC,Wake,37183
36,FEMALE,False,NOT,69,16,0,VA,Chesterfield,51041
22,FEMALE,True,CL,17,15,0,VA,Falls Church,51610
52,MALE,False,NOT,85,7,0,VA,Portsmouth,51740
75,FEMALE,False,NOT,15,16,1,VA,Augusta,51015
36,FEMALE,False,NOT,33,3,1,VA,Albemarle,51003
13,FEMALE,True,MS,17,8,0,VA,Alexandria,51510
16,MALE,True,HS,27,16,1,VA,Henrico,51087
63,FEMALE,False,NOT,19,14,0,VA,Manassas,51683
57,MALE,False,NOT,82,12,0,VA,Fauquier,51061
25,FEMALE,False,NOT,40,8,0,MD,Anne Arundel,24003
32,MALE,False,NOT,61,14,1,VA,Chesterfield,51041
47,MALE,False,NOT,52,14,0,VA,Rockingham,51165
56,MALE,False,NOT,2,6,0,MD,Anne Arundel,24003
50,FEMALE,False,NOT,31,6,1,VA,Halifax,51083
57,MALE,False,NOT,49,13,1,VA,Washington,51191
22,FEMALE,True,CL,11,7,1,VA,Henrico,51087
67,FEMALE,False,NOT,21,4,1,VA,Brunswick,51025
78,FEMALE,False,NOT,5,6,0,VA,Bedford,51019
46,FEMALE,False,NOT,87,10,1,VA,Tazewell,51185
39,FEMALE,False,NOT,36,25,1,VA,Charlottesville,51540
9,MALE,True,ES,26,3,0,VA,Chesterfield,51041
30,MALE,False,NOT,9,3,0,VA,Fauquier,51061
63,FEMALE,False,NOT,7,10,0,VA,Wise,51195
45,MALE,False,NOT,8,8,1,VA,Manassas,51683
61,FEMALE,False,NOT,5,9,0,VA,Wise,51195
30,MALE,False,NOT,18,19,1,VA,Campbell,51031
66,FEMALE,False,NOT,48,11,0,VA,Frederick,51069
29,MALE,False,NOT,32,3,1,VA,Pittsylvania,51143
66,FEMALE,False,NOT,22,1,1,VA,Bedford,51019
53,FEMALE,False,NOT,24,9,1,VA,Augusta,51015
34,MALE,False,NOT,11,5,1,VA,Roanoke City,51770
4,FEMALE,True,NOT,5,11,1,VA,Chesapeake,51550
68,MALE,False,NOT,36,6,1,VA,Bedford,51019
46,MALE,False,NOT,24,10,1,VA,Portsmouth,51740
36,MALE,False,NOT,4,5,1,NC,Guilford,37081
41,MALE,False,NOT,86,21,1,VA,Alexandria,51510
10,FEMALE,True,ES,1,3,0,VA,Mecklenburg,51117
20,FEMALE,True,CL,70,3,1,NC,Guilford,37081
67,FEMALE,False,NOT,3,5,1,VA,Chesapeake,51550
72,FEMALE,False,NOT,12,9,1,VA,Fauquier,51061
16,FEMALE,True,HS,70,25,0,VA,Halifax,51083
46,MALE,False,NOT,24,16,0,VA,Washington,51191
42,MALE,False,NOT,16,2,1,VA,Russell,51167
57,FEMALE,False,NOT,19,13,0,VA,Bedford,51019
30,FEMALE,False,NOT,8,2,0,VA,Chesapeake,51550
57,MALE,False,NOT,14,2,1,VA,Powhatan,51145
60,FEMALE,False,NOT,25,8,1,VA,Rockingham,51165
48,FEMALE,False,NOT,13,3,0,VA,Portsmouth,51740
63,MALE,False,NOT,13,12,1,VA,Chesterfield,51041
23,FEMALE,False,CL,43,3,0,VA,Chesapeake,51550
62,MALE,False,NOT,23,5,0,VA,Charlottesville,51540
14,MALE,True,HS,64,4,0,VA,Albemarle,51003
61,MALE,False,NOT,20,7,0,VA,Virginia Beach,51810
60,FEMALE,False,NOT,4,4,0,VA,Newport News,51700
47,FEMALE,False,NOT,17,2,1,VA,Norfolk,51710
33,FEMALE,False,NOT,16,9,1,VA,Pittsylvania,51143
27,FEMALE,False,NOT,88,7,1,VA,Washington,51191
54,MALE,False,NOT,78,10,1,VA,Manassas,51683
10,FEMALE,True,ES,15,1,0,VA,Washington,51191
24,FEMALE,False,NOT,4,7,1,VA,Arlington,51013
55,FEMALE,False,NOT,8,15,0,VA,Albemarle,51003
25,MALE,False,NOT,8,17,1,VA,Campbell,51031
33,MALE,False,NOT,37,6,1,VA,Augusta,51015
48,MALE,False,NOT,17,2,0,VA,Roanoke,51161
40,MALE,False,NOT,37,2,1,VA,Pulaski,51155
15,FEMALE,True,HS,51,4,0,VA,Powhatan,51145
32,MALE,False,NOT,71,11,1,VA,Loudoun,51107
44,MALE,False,NOT,22,2,1,VA,Washington,51191
63,FEMALE,False,NOT,8,10,1,MD,Anne Arundel,24003
79,MALE,False,NOT,48,9,1,VA,Lynchburg,51680
52,MALE,False,NOT,70,5,1,VA,Prince William,51153
4,FEMALE,True,NOT,24,6,1,VA,Hampton,51650
83,MALE,False,NOT,26,10,1,VA,Russell,51167
52,FEMALE,False,NOT,6,9,1,VA,Pulaski,51155
34,MALE,False,NOT,18,3,1,VA,Washington,51191
36,FEMALE,False,NOT,2,6,1,VA,Charlottesville,51540
51,FEMALE,False,NOT,44,5,1,VA,Frederick,51069
20,FEMALE,True,CL,25,7,0,VA,Charlottesville,51540
18,MALE,True,HS,19,2,0,VA,Wise,51195
40,FEMALE,False,NOT,13,7,1,VA,Henrico,51087
82,FEMALE,False,NOT,3,6,0,VA,Roanoke,51161
51,MALE,False,NOT,3,3,0,VA,Wise,51195
18,FEMALE,True,HS,24,4,1,VA,Chesterfield,51041
2,FEMALE,True,NOT,28,5,0,VA,Manassas,51683
18,FEMALE,True,HS,30,5,0,MD,Montgomery,24031
45,FEMALE,False,NOT,102,4,1,VA,Prince William,51153
28,MALE,False,NOT,6,5,1,VA,Rockingham,51165
62,FEMALE,False,NOT,86,15,1,VA,Newport News,51700
20,FEMALE,True,CL,12,6,0,VA,Fauquier,51061
37,FEMALE,False,NOT,76,3,0,VA,Mecklenburg,51117
72,MALE,False,NOT,15,17,0,VA,Fauquier,51061
20,MALE,True,CL,11,10,1,VA,Albemarle,51003
28,FEMALE,False,NOT,33,10,1,VA,Loudoun,51107
33,FEMALE,False,NOT,4,4,0,MD,Anne Arundel,24003
41,MALE,False,NOT,2,9,0,VA,Campbell,51031
39,FEMALE,False,NOT,6,5,0,VA,Bedford,51019
8,MALE,True,ES,36,4,1,VA,Loudoun,51107
18,FEMALE,True,HS,50,24,1,VA,Montgomery,51121
30,MALE,False,NOT,66,2,1,VA,Chesterfield,51041
29,FEMALE,False,NOT,27,4,1,VA,Montgomery,51121
64,FEMALE,False,NOT,20,4,0,VA,Chesterfield,51041
74,MALE,False,NOT,12,11,0,VA,Henrico,51087
64,FEMALE,False,NOT,5,17,1,VA,Tazewell,51185
18,MALE,True,HS,83,7,1,MD,Montgomery,24031
74,FEMALE,False,NOT,20,7,0,VA,Brunswick,51025
47,FEMALE,False,NOT,62,1,0,VA,Roanoke,51161
34,MALE,False,NOT,31,6,0,VA,Pittsylvania,51143
35,MALE,False,NOT,40,6,1,VA,Fauquier,51061
59,MALE,False,NOT,34,6,0,VA,Wise,51195
67,FEMALE,False,NOT,6,14,1,VA,Russell,51167
55,FEMALE,False,NOT,43,9,1,VA,Newport News,51700
4,FEMALE,True,NOT,15,6,0,VA,Bedford,51019
73,FEMALE,False,NOT,14,6,1,MD,Montgomery,24031
9,FEMALE,True,ES,185,3,1,VA,Portsmouth,51740
48,FEMALE,False,NOT,69,4,0,VA,Norfolk,51710
58,MALE,False,NOT,29,25,1,VA,Arlington,51013
57,FEMALE,False,NOT,80,25,1,VA,Rockingham,51165
13,MALE,True,MS,28,1,1,VA,Portsmouth,51740
63,FEMALE,False,NOT,25,9,0,VA,Pulaski,51155
42,MALE,False,NOT,26,6,1,VA,Virginia Beach,51810
33,MALE,False,NOT,1,1,1,VA,Hanover,51085
24,FEMALE,False,NOT,10,19,0,VA,Norfolk,51710
53,MALE,False,NOT,16,12,1,VA,Loudoun,51107
61,FEMALE,False,NOT,41,13,1,VA,Halifax,51083
18,MALE,True,HS,38,4,1,VA,Alexandria,51510
45,MALE,False,NOT,36,6,1,VA,Chesapeake,51550
61,MALE,False,NOT,13,1,0,VA,Roanoke,51161
12,MALE,True,MS,123,8,1,VA,Alexandria,51510
58,MALE,False,NOT,35,18,1,VA,Chesapeake,51550
65,MALE,False,NOT,10,2,0,VA,Hanover,51085
31,MALE,False,NOT,98,2,1,VA,Virginia Beach,51810
78,FEMALE,False,NOT,28,21,1,VA,Rockingham,51165
62,FEMALE,False,NOT,12,4,1,VA,Pulaski,51155
27,FEMALE,False,NOT,13,1,0,VA,Arlington,51013
20,FEMALE,True,CL,3,1,0,VA,Augusta,51015
18,MALE,True,HS,59,5,1,VA,Newport News,51700
64,MALE,False,NOT,7,1,1,VA,Hampton,51650
69,FEMALE,False,NOT,1,11,0,VA,Bedford,51019
36,FEMALE,False,NOT,10,4,0,VA,Wythe,51197
24,MALE,False,NOT,37,16,1,VA,Tazewell,51185
44,FEMALE,False,NOT,26,13,0,VA,Powhatan,51145
61,MALE,False,NOT,42,7,1,VA,Hampton,51650
52,FEMALE,False,NOT,44,10,1,NC,Guilford,37081
91,MALE,False,NOT,22,3,0,VA,Fairfax,51059
58,FEMALE,False,NOT,27,7,1,VA,Augusta,51015
11,FEMALE,True,MS,16,1,0,VA,Tazewell,51185
45,FEMALE,False,NOT,45,9,1,VA,Augusta,51015
58,MALE,False,NOT,10,12,1,VA,Chesapeake,51550
30,FEMALE,False,NOT,44,6,0,VA,Chesapeake,51550
43,FEMALE,False,NOT,51,20,1,MD,Baltimore,24005
6,MALE,True,ES,80,5,1,VA,Norfolk,51710
32,MALE,False,NOT,23,8,0,VA,Fairfax,51059
25,FEMALE,False,NOT,38,4,1,VA,Alexandria,51510
27,MALE,False,NOT,30,1,1,VA,Loudoun,51107
40,MALE,False,NOT,19,10,1,VA,Charlottesville,51540
53,MALE,False,NOT,19,19,1,VA,Montgomery,51121
8,FEMALE,True,ES,65,14,0,VA,Arlington,51013
83,MALE,False,NOT,21,9,1,VA,Lynchburg,51680
59,FEMALE,False,NOT,33,3,0,VA,Hanover,51085
74,MALE,False,NOT,13,15,0,VA,Henrico,51087
25,FEMALE,False,NOT,15,7,0,VA,Russell,51167
65,MALE,False,NOT,4,1,1,VA,Pittsylvania,51143
53,MALE,False,NOT,7,3,0,VA,Chesterfield,51041
34,FEMALE,False,NOT,34,7,0,NC,Mecklenburg,37119
27,FEMALE,False,NOT,15,3,0,VA,Norfolk,51710
19,FEMALE,True,CL,12,10,1,VA,Newport News,51700
52,FEMALE,False,NOT,47,2,0,MD,Montgomery,24031
31,FEMALE,False,NOT,33,25,0,VA,Charlottesville,51540
88,FEMALE,False,NOT,22,7,1,VA,Portsmouth,51740
43,FEMALE,False,NOT,5,2,0,VA,Roanoke,51161
5,FEMALE,True,ES,28,2,1,VA,Brunswick,51025
35,MALE,False,NOT,22,1,1,VA,Henrico,51087
30,FEMALE,False,NOT,30,14,1,VA,Wise,51195
32,FEMALE,False,NOT,29,2,1,VA,Manassas,51683
80,FEMALE,False,NOT,41,2,1,VA,Falls Church,51610
54,MALE,False,NOT,6,25,0,NC,Forsyth,37067
46,FEMALE,False,NOT,22,7,0,VA,Powhatan,51145
43,MALE,False,NOT,18,5,1,MD,Howard,24027
27,MALE,False,NOT,16,3,0,VA,Prince William,51153
58,MALE,False,NOT,70,3,1,VA,Hanover,51085
27,MALE,False,NOT,10,6,0,VA,Chesterfield,51041
63,MALE,False,NOT,29,14,1,VA,Prince William,51153
19,MALE,True,CL,8,20,1,VA,Fairfax,51059
47,MALE,False,NOT,3,1,1,VA,Russell,51167
19,MALE,True,CL,23,6,1,VA,Henrico,51087
58,FEMALE,False,NOT,36,16,1,VA,Roanoke,51161
72,MALE,False,NOT,1,13,0,VA,Rockingham,51165
40,MALE,False,NOT,18,1,0,VA,Mecklenburg,51117
49,FEMALE,False,NOT,28,3,0,VA,Goochland,51075
71,FEMALE,False,NOT,26,11,1,MD,Baltimore,24005
58,FEMALE,False,NOT,29,2,0,MD,Anne Arundel,24003
24,FEMALE,False,NOT,44,3,1,VA,Halifax,51083
34,FEMALE,False,NOT,2,21,0,VA,Albemarle,51003
72,FEMALE,False,NOT,8,5,1,VA,Pulaski,51155
34,FEMALE,False,NOT,23,8,1,VA,Richmond City,51760
50,FEMALE,False,NOT,16,6,1,VA,Lynchburg,51680
32,FEMALE,False,NOT,25,2,1,VA,Chesterfield,51041
40,MALE,False,NOT,6,7,0,VA,Russell,51167
76,FEMALE,False,NOT,27,2,1,VA,Chesapeake,51550
27,MALE,False,NOT,59,8,1,VA,Pulaski,51155
40,FEMALE,False,NOT,70,15,0,VA,Hanover,51085
34,FEMALE,False,NOT,73,5,0,VA,Portsmouth,51740
68,MALE,False,NOT,13,5,0,VA,Wise,51195
33,MALE,False,NOT,18,9,0,VA,Pulaski,51155
74,FEMALE,False,NOT,48,1,0,NC,Mecklenburg,37119
70,MALE,False,NOT,6,11,1,VA,Portsmouth,51740
16,MALE,True,HS,62,11,0,MD,Baltimore,24005
30,MALE,False,NOT,23,14,1,VA,Prince William,51153
30,FEMALE,False,NOT,18,5,0,VA,Chesapeake,51550
39,MALE,False,NOT,24,9,0,VA,Loudoun,51107
25,MALE,False,NOT,10,20,0,VA,Mecklenburg,51117
16,MALE,True,HS,19,14,1,VA,Wise,51195
69,FEMALE,False,NOT,46,12,0,VA,Augusta,51015
37,FEMALE,False,NOT,27,20,0,VA,Virginia Beach,51810
71,MALE,False,NOT,72,4,1,VA,Russell,51167
16,MALE,True,HS,53,3,0,MD,Howard,24027
69,MALE,False,NOT,19,1,0,VA,Arlington,51013
44,FEMALE,False,NOT,63,9,1,VA,Campbell,51031
26,MALE,False,NOT,8,14,1,VA,Newport News,51700
56,MALE,False,NOT,10,1,1,VA,Halifax,51083
27,MALE,False,NOT,17,7,1,VA,Halifax,51083
72,MALE,False,NOT,6,20,0,VA,Henrico,51087
49,MALE,False,NOT,12,11,1,VA,Henrico,51087
30,MALE,False,NOT,15,9,1,NC,Forsyth,37067
34,FEMALE,False,NOT,45,8,1,VA,Tazewell,51185
